SNO,NAME OF COMPANY,SYMBOL
1,Nifty,^NSEI
2,20 Microns Limited,20MICRONS
3,21st Century Management Services Limited,21STCENMGM
4,3i Infotech Limited,3IINFOTECH
5,3M India Limited,3MINDIA
6,3P Land Holdings Limited,3PLAND
7,5Paisa Capital Limited,5PAISA
8,63 moons technologies limited,63MOONS
9,A2Z Infra Engineering Limited,A2ZINFRA
10,Aarti Drugs Limited,AARTIDRUGS
11,Aarti Industries Limited,AARTIIND
12,Aarvee Denims & Exports Limited,AARVEEDEN
13,Aavas Financiers Limited,AAVAS
14,Aban Offshore Limited,ABAN
15,ABB India Limited,ABB
16,Abbott India Limited,ABBOTINDIA
17,Aditya Birla Capital Limited,ABCAPITAL
18,Aditya Birla Fashion and Retail Limited,ABFRL
19,ABM International Limited,ABMINTLTD
20,ACC Limited,ACC
21,Accelya Solutions India Limited,ACCELYA
22,Action Construction Equipment Limited,ACE
23,Adani Enterprises Limited,ADANIENT
24,Adani Gas Limited,ADANIGAS
25,Adani Green Energy Limited,ADANIGREEN
26,Adani Ports and Special Economic Zone Limited,ADANIPORTS
27,Adani Power Limited,ADANIPOWER
28,Adani Transmission Limited,ADANITRANS
29,ADF Foods Limited,ADFFOODS
30,Adhunik Metaliks Limited,ADHUNIK
31,Adhunik Industries Limited,ADHUNIKIND
32,Adlabs Entertainment Limited,ADLABS
33,Ador Welding Limited,ADORWELD
34,Adroit Infotech Limited,ADROITINFO
35,Allied Digital Services Limited,ADSL
36,Advani Hotels & Resorts (India) Limited,ADVANIHOTR
37,Advanced Enzyme Technologies Limited,ADVENZYMES
38,Aegis Logistics Limited,AEGISCHEM
39,Affle (India) Limited,AFFLE
40,Agarwal Industrial Corporation Limited,AGARIND
41,AGC Networks Limited,AGCNET
42,Agri-Tech (India) Limited,AGRITECH
43,Agro Phos India Limited,AGROPHOS
44,Asian Hotels (East) Limited,AHLEAST
45,Ahluwalia Contracts (India) Limited,AHLUCONT
46,Asian Hotels (West) Limited,AHLWEST
47,AIA Engineering Limited,AIAENG
48,Monnet Ispat & Energy Limited,AIONJSW
49,Airan Limited,AIRAN
